"id","created_at","name","has_test","alternate_url"
"126905966","2025-10-24T11:19:08+0300","Data Scientist (junior)",false,"https://hh.ru/vacancy/126905966"
"126896492","2025-10-24T08:54:10+0300","Data Scientist",false,"https://hh.ru/vacancy/126896492"
"126813281","2025-10-22T11:06:54+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/126813281"
"126311801","2025-10-08T14:46:36+0300","Системный аналитик",false,"https://hh.ru/vacancy/126311801"
"126895475","2025-10-24T08:26:34+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/126895475"
"126914289","2025-10-24T13:55:37+0300","Технический писатель",false,"https://hh.ru/vacancy/126914289"
"126718438","2025-10-23T11:21:52+0300","Data Scientist (Junior)",false,"https://hh.ru/vacancy/126718438"
"126886506","2025-10-23T17:01:43+0300","Data Scientist",false,"https://hh.ru/vacancy/126886506"
"126209623","2025-10-06T18:43:16+0300","Стажер, Data Analyst / Data Scientist",true,"https://hh.ru/vacancy/126209623"
"126824172","2025-10-22T14:06:27+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/126824172"
"123548425","2025-09-29T17:01:21+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/123548425"
"126734566","2025-10-20T14:41:45+0300","Data Scientist / ML Engineer (Middle)",false,"https://hh.ru/vacancy/126734566"
"126635251","2025-10-17T08:15:43+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/126635251"
"126776801","2025-10-21T13:03:34+0300","Data Scientist",false,"https://hh.ru/vacancy/126776801"
"126751877","2025-10-20T23:10:14+0300","Machine Learning Engineer (Python / FastAPI / XGBoost)",false,"https://hh.ru/vacancy/126751877"
"126846614","2025-10-23T09:20:26+0300","Embedded Python / ML Engineer",false,"https://hh.ru/vacancy/126846614"
"126419016","2025-10-21T14:23:46+0300","Data Scientist",false,"https://hh.ru/vacancy/126419016"
"126648931","2025-10-17T12:13:59+0300","Data Scientist / Researcher",false,"https://hh.ru/vacancy/126648931"
"126852879","2025-10-24T14:38:27+0300","Data Scientist/Дата-сайентист (скоринг)",false,"https://hh.ru/vacancy/126852879"
"126728552","2025-10-20T13:14:23+0300","Product manager (AI / Data Products)",false,"https://hh.ru/vacancy/126728552"
